match_id,total_runs
1,209
2,140
3,233
4,184
5,213
6,205
7,212
8,218
9,132
10,229
11,217
12,139
13,239
14,150
15,221
16,190
17,166
18,139
19,162
20,154
21,164
22,206
23,242
24,149
25,227
26,247
27,233
28,122
29,153
30,130
31,194
32,132
33,180
34,197
35,162
36,128
37,229
38,237
39,121
40,237
41,185
42,190
43,174
44,151
45,130
46,238
47,172
48,236
49,167
50,213
51,173
52,176
53,202
54,165
55,170
56,222
57,130
58,221
59,210
60,130
61,147
62,172
63,134
64,120
65,148
66,131
67,238
68,205
69,229
70,146
71,235
72,224
73,139
74,189
75,182
76,201
77,190
78,248
79,135
80,213
81,215
82,190
83,213
84,239
85,212
86,173
87,135
88,243
89,219
90,191
91,120
92,158
93,227
94,179
95,237
96,218
97,146
98,179
99,237
100,153
