movie_id,genre,box_office_collection
1,Comedy,46407135
2,Sci-Fi,27570514
3,Sci-Fi,2339146
4,Sci-Fi,32180066
5,Drama,47319495
6,Sci-Fi,25346784
7,Action,40986780
8,Comedy,11042633
9,Comedy,14807736
10,Action,3250067
11,Horror,33363504
12,Drama,44857669
13,Action,8294512
14,Drama,1949397
15,Comedy,28465459
16,Horror,18689376
17,Drama,40848570
18,Drama,12560604
19,Sci-Fi,32109834
20,Sci-Fi,7556701
21,Drama,23610325
22,Horror,11926922
23,Sci-Fi,38056676
24,Comedy,32085706
25,Sci-Fi,20454068
26,Horror,5017602
27,Drama,40780239
28,Action,24828261
29,Sci-Fi,12400352
30,Drama,33291024
31,Action,38045613
32,Drama,22308679
33,Comedy,36997539
34,Comedy,29435229
35,Sci-Fi,22034508
36,Drama,14339143
37,Sci-Fi,45329730
38,Comedy,37311983
39,Action,23373273
40,Horror,42819823
41,Horror,45268115
42,Action,10630981
43,Action,10441349
44,Action,12469137
45,Action,44530119
46,Comedy,31313544
47,Drama,47372926
48,Sci-Fi,34246830
49,Comedy,20734438
50,Sci-Fi,13886030
51,Action,47613714
52,Action,24479295
53,Comedy,26438291
54,Drama,18984425
55,Sci-Fi,2617169
56,Drama,14878406
57,Horror,46003706
58,Horror,40678003
59,Drama,34789195
60,Action,40481153
61,Action,8844094
62,Drama,43337780
63,Comedy,43232541
64,Horror,31736856
65,Comedy,43468642
66,Horror,26898483
67,Comedy,42326603
68,Comedy,41521601
69,Horror,14978446
70,Comedy,32543587
71,Sci-Fi,13520024
72,Horror,22853450
73,Comedy,10807291
74,Comedy,49525301
75,Action,28518894
76,Sci-Fi,5712285
77,Drama,4209305
78,Sci-Fi,25067663
79,Comedy,12084407
80,Action,15320545
81,Drama,22828200
82,Comedy,2510944
83,Action,21176795
84,Action,6624924
85,Horror,24508418
86,Drama,42497878
87,Comedy,39873685
88,Sci-Fi,27868314
89,Horror,13135953
90,Action,34251475
91,Comedy,38153226
92,Comedy,9598097
93,Action,1405247
94,Action,9698784
95,Sci-Fi,41310980
96,Action,28982512
97,Drama,15129779
98,Action,45731167
99,Drama,33864721
100,Sci-Fi,6341177
