restaurant_id,average_cost_for_two,user_rating
1,2065,2.7
2,2751,3.6
3,1776,3.8
4,2921,3.9
5,1706,3.2
6,2438,4.2
7,634,4.7
8,1166,2.9
9,2243,3.6
10,1135,4.1
11,1921,4.0
12,2234,3.9
13,1450,2.8
14,1870,2.6
15,2708,2.7
16,1758,2.7
17,1011,3.7
18,2193,2.6
19,985,4.3
20,1227,4.5
21,1110,3.4
22,1613,3.4
23,1789,2.9
24,2552,4.5
25,1493,4.3
26,692,4.8
27,2566,3.1
28,2179,2.9
29,1096,4.3
30,2887,4.9
31,2855,3.5
32,1255,4.3
33,1153,4.6
34,2134,3.8
35,1721,4.7
36,861,4.2
37,1137,2.6
38,2819,3.6
39,2979,3.7
40,2348,4.2
41,1583,3.5
42,2541,4.0
43,2310,4.6
44,2455,2.6
45,2901,3.3
46,1619,4.9
47,1344,4.5
48,1207,2.6
49,2994,3.4
50,1914,2.7
51,1109,4.0
52,1057,3.7
53,1545,4.6
54,898,4.5
55,560,4.1
56,959,3.7
57,906,4.9
58,1113,4.3
59,1116,3.8
60,2927,4.2
61,1220,4.1
62,611,5.0
63,2064,4.7
64,1427,4.8
65,2992,4.5
66,1700,2.6
67,1719,2.8
68,342,4.4
69,2274,4.7
70,2720,4.4
71,2686,3.8
72,2855,2.8
73,1601,3.8
74,1896,3.0
75,715,4.0
76,2309,4.7
77,1603,2.6
78,1609,4.0
79,2123,3.9
80,317,4.0
81,1288,3.8
82,874,3.0
83,1080,4.5
84,1932,3.2
85,1299,2.5
86,642,4.4
87,1915,3.9
88,831,2.6
89,390,3.2
90,1555,3.3
91,2694,2.7
92,1248,3.3
93,2582,4.3
94,881,4.1
95,2016,2.6
96,1727,3.6
97,2399,3.9
98,653,5.0
99,2923,4.7
100,852,4.9
101,2862,3.1
102,865,2.9
103,777,4.6
104,343,3.0
105,1595,3.1
106,1012,3.0
107,2614,4.8
108,1368,3.9
109,1828,3.5
110,2341,3.9
111,1723,4.5
112,2370,4.6
113,923,3.8
114,1395,4.3
115,2280,3.9
116,959,4.4
