order_id,restaurant,order_total,delivery_time_mins
1001,Burger King,832,31
1002,Pizza Hut,873,55
1003,Dominos,1329,63
1004,Pizza Hut,338,43
1005,Taco Bell,390,45
1006,Burger King,431,31
1007,Dominos,554,20
1008,Starbucks,251,57
1009,Starbucks,1105,59
1010,Dominos,668,28
1011,Pizza Hut,1046,51
1012,Starbucks,637,63
1013,Dominos,1073,63
1014,Starbucks,586,19
1015,McDonalds,652,26
1016,Pizza Hut,184,23
1017,Pizza Hut,546,47
1018,Subway,1247,48
1019,Burger King,801,37
1020,Pizza Hut,885,39
1021,Taco Bell,853,45
1022,Pizza Hut,840,57
1023,Dominos,1274,40
1024,KFC,868,30
1025,Starbucks,960,62
1026,Starbucks,243,49
1027,McDonalds,1232,48
1028,Subway,987,53
1029,Subway,1309,30
1030,Pizza Hut,394,26
1031,Dominos,212,52
1032,Dominos,744,47
1033,KFC,230,55
1034,Taco Bell,1350,33
1035,Subway,1429,62
1036,Burger King,523,25
1037,KFC,942,52
1038,Starbucks,523,37
1039,Dominos,689,62
1040,Subway,1411,43
1041,Subway,1099,25
1042,Pizza Hut,721,44
1043,Pizza Hut,1374,63
1044,Subway,919,32
1045,McDonalds,616,65
1046,Pizza Hut,702,30
1047,Subway,552,64
1048,KFC,632,61
1049,Pizza Hut,626,47
1050,Starbucks,681,29
1051,Subway,723,26
1052,McDonalds,1294,34
1053,Dominos,398,55
1054,Subway,424,16
1055,KFC,268,30
1056,KFC,997,20
1057,McDonalds,1099,52
1058,Taco Bell,187,56
1059,Pizza Hut,1277,57
1060,KFC,175,35
1061,Taco Bell,1430,54
1062,Taco Bell,817,16
1063,Starbucks,1217,62
1064,McDonalds,1446,65
1065,Starbucks,683,27
1066,Pizza Hut,1023,63
1067,Taco Bell,1413,17
1068,Pizza Hut,1391,28
1069,Starbucks,526,35
1070,Taco Bell,460,16
1071,Pizza Hut,997,52
1072,Starbucks,1219,63
1073,Dominos,388,56
1074,Burger King,646,42
1075,Subway,362,28
1076,Starbucks,964,33
1077,McDonalds,1412,45
1078,Dominos,1338,23
1079,McDonalds,1484,45
1080,Subway,823,37
1081,McDonalds,268,51
1082,Starbucks,470,27
1083,Subway,1108,26
1084,Starbucks,1112,25
1085,Taco Bell,1401,60
1086,KFC,554,37
1087,Burger King,997,45
1088,Burger King,1432,65
1089,Taco Bell,810,35
1090,Subway,1264,57
1091,Taco Bell,813,41
1092,McDonalds,190,34
1093,Dominos,1401,58
1094,Pizza Hut,1170,49
1095,Dominos,1384,27
1096,KFC,691,28
1097,KFC,659,38
1098,Starbucks,648,29
1099,Subway,500,63
1100,Pizza Hut,325,22
1101,Dominos,593,48
1102,Subway,993,53
1103,Starbucks,478,63
1104,Taco Bell,1325,35
1105,Dominos,466,44
1106,Dominos,220,36
1107,Dominos,1061,29
1108,McDonalds,215,55
1109,Burger King,1394,29
1110,KFC,692,32
1111,Burger King,1157,28
1112,McDonalds,579,19
1113,Burger King,698,53
1114,KFC,933,42
1115,Taco Bell,1161,42
1116,Subway,741,44
1117,Pizza Hut,1322,15
1118,Burger King,467,32
1119,Starbucks,465,49
1120,KFC,644,64
1121,Burger King,1248,57
1122,Pizza Hut,268,34
1123,Starbucks,626,33
1124,Dominos,1239,20
1125,Taco Bell,1202,43
1126,Starbucks,503,17
1127,Pizza Hut,463,38
1128,Taco Bell,382,19
1129,Pizza Hut,304,30
1130,McDonalds,649,44
1131,Dominos,340,37
1132,Dominos,606,52
1133,Taco Bell,588,51
