Restaurant Name,Dining Rating,Delivery Rating,Dining Votes,Delivery Votes,Cuisine ,Place Name,City,Item Name,Best Seller,Votes,Prices
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Platter Kebab Combo,BESTSELLER,84,249
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Rumali Shawarma,BESTSELLER,45,129
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Salad,,39,189
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken BBQ Salad,BESTSELLER,43,189
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Doner Wrap Combo,MUST TRY,31,205
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Pizza [8 inches],BESTSELLER,48,199
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Zinger Tortilla Wrap,CHEF'S SPECIAL,27,165
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Popcorn [20 Pieces],BESTSELLER,59,165
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Sandwich,,29,115
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Bread Samoli Shawarma,,31,129
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Fish Platter [Boneless Indian Basa],,9,295
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Platter Kebab Combo,BESTSELLER,27,279
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Doner Kebab,MUST TRY,5,159
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Shawarma,MUST TRY,5,129
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,French Fries + Coke [220 ml],,0,199
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Platter Kebab Combo,BESTSELLER,84,249
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Platter Kebab Combo,BESTSELLER,27,279
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Kebab Wrap Combo,BESTSELLER,26,205
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Special Doner Wrap Combo,CHEF'S SPECIAL,31,205
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Tandoori Salad,,39,189
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken BBQ Salad,BESTSELLER,43,189
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Fish Platter [Boneless Indian Basa],,9,295
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Doner Kebab,CHEF'S SPECIAL,5,159
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Veg Pizza [8 inches],,7,169
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Sweet Corn Pizza [8 inches],,0,175
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,Chicken Classic Pizza [8 inches],,0,199
