,rating,review
0,5,nice
1,5,"best biryani , so supportive staff of outlet , personalize my order on call as I say. full Paisa vasool "
2,4,delivery boy was very decent and supportive.👌👍
3,1,"worst biryani i have tasted in my life, half of the biryani is in dustbin. "
4,5,all food is good and tasty . will order again and lots more to explore in bawarchi's menu. 
5,5,shandar zabardast zindabad .. good going bawarchi keep it up 
6,5,overall good experience . will order again
7,1,good but cold of food
8,5,tasty food . homestyle tasty prepration. 
9,5,loved it . 5/5 . 
10,4,"full paisa vasool , taste me best Bawarchi aur Everest . .. "
11,5,"good taste , authentic punjabi style matar paneer . feels good to have such food in surat ."
12,5,very tasty authentic food .. 
13,5,superb tasty asli dilli wala flavour
14,5,yummiest manchurian fried rice i have ever had in city . authentic chinese taste. must order once 
15,5,veey tasty. . order again nd again
16,1,i have ordered Manchurian fried rice but instead I got only simple fried rice. Feeling like I am cheated by bawarchi restaurant.
17,1,very bad not properly cooked
18,5,delicious 
19,5,chinese cheese kulcha . good fusion of chinsese with punjabi cuisine.  accomplish with dal makhni and yummy butter milk must order 
20,5,"tasteis best , zabardast mouthwatering . must order again "
21,1,Taste less nd took 55 min to deliver the order
22,5,I have tried a lot of dishes from bawarchi and choosing the best between them is a really tough task as All dishes are AWESOME.
23,5,bawarchi satisfied there customer needs🤩
24,5,Too Helping nature of resturent owners
25,5,"i have tried many items from bawarchi , these ppl never disappoint me ..keep it up "
26,5,"Awesome experience guys...these people really care about their customer satisfaction...try and order, I am sure u will love the taste..."
27,5,Something good for cocktail party... As the restaurant has mentioned... Good... Quantity was good too... Lage raho 
28,5,superb taste really supreme thali in taste and quantity
29,5,Free pizza was not given to me. Pizza hut does fraud till customer's condition is fulfilled.
30,3,its good 
31,1,"free san francisco margarita pizza, for orders above 799  was not delivered, though order was above 1000.   "
32,1,pizza base is not baked properly... it's not crunchy..... then la pinos s pizza is baked properly
33,5,Good experience.
34,2,On time!
35,5,Very bad. Waste of money Pizza Hut no more like before very bad quality
36,5,pizza got cold........waste of money 
37,5,rotten pizza
38,1,"had ordered a mushroom and corn pizza, got only a corn one"
39,1,mast
40,2,food is not hot
41,1,osm
42,1,no topping they have served only bread
43,5,Pizza hut vari bad bro😡😡😡😡😡<br/>All pablik pizzz not send pizz hat oder <br/>Vari vari bad test
44,1,I placed a complete different order and received complete different items not fair !!!!!! Worst placements
45,1,so bad
46,1,their was a hair in my order horrible didn't expect this from pizza hut...
47,1,"Worst pizza ever<br/>No cheese , no taste <br/>Just poured some liquid cheese which was pathetic n too salty"
48,1,only cool pizza no socsh
49,2,1 corn pizza is missing in only vetted 3 pizza out of 4
50,1,quality not much good and quantity  are less 
51,2,Was not that good
52,1,nice 👍
53,5,There is no ketchup
54,1,really horrible horrible....I couldn't even eat 
55,3,I can't receive the dip....very bad🤷
56,2,only 2 chili flakes send by you and not provided origon masala with Pizza...and if possible please provide 3-4 Tomato sauce pauch with Pizza
57,1,there were no ketchup how to eat...dry pizza can't consume 
58,3,good 
59,1,The phone number was not working to edit the instructions
60,2,"do complete care of the order and send to customer very properly,outlet was not even having the oragano,<br/>very disappointing,<br/>moving out to eat something great as today's experience was hilarious and can't even trust more service of zomato"
61,5,HAD GIVEN VERY VERY VERY VERY LESS CHILLI FLAKES AND NO OREGANO AT ALL VERY DISSAPOINTED
62,2,please provide catch up also I am giving 3 star because of taste.
63,1,very bad experience
64,3,the order we rcd was very very cold and very very late
65,3,There was no oregano sachets
66,1,Soft Pizza bread. Enjoyed Weekending.
67,5,good test
68,5,it was nice but was not as good 
69,1,dont buy pizza from pizza hut horrible pizza restuarant.
70,3,very nice dilivery boy and nice work 
71,3,The pizza was horrible the bread was stale could not eat the pizza stop making such bad pizzas
72,2,cheesy baked momos is very bad test and very tangy 
73,5,Quality food
74,1,packing was so dumb it was unsealed and so unhealthy and unhygienic 
75,2,Pizza hut is wrost never order it and after ordering it i got another order and even after that there is not any issue…….
76,5,😊
77,5,Pepsi not available why?
78,5,worst just wasted my money
79,5,everytime good experience this time it's was not good it's Money waste 
80,5,"what is this..<br/>that's not even half a plate, "
81,2,kitna oily tha 
82,1,Great
83,1,Great
84,5,not good not bad
85,2,nice 
86,1,total careless restaurant not following order given by the customer please do not give further order for this restaurant
87,4,paav kio nhi bheja
88,1,no paper dish
89,1,noodles is very spicy can't to eat it... and chilli paneer was small bad I don't have it
90,1,"Worst taste, rice is burnt .<br/>after several calls restro didn't attended calls, no reply.<br/>Wouldn't recommend someone for this restro."
91,1,excellent 
92,1,nice man 
93,5,Please send full order then say how’s taste
94,4,thank you for corporation 
95,1,not good
96,1,very nice 
97,3,Mouth Watering Food 
98,5,Excellent Food 
99,5,Delicious dish
100,4,"very bad taste taste less saltless ,they don't even accept food instructions, no cutlery and very costly "
101,1,osum test
102,2,spoon nahi diya hai  order k sath spoon dena cahiye  
103,1,taste is very bad
104,5,🌺
105,5,send cutlery in future for convenience outdoor eating 
106,1,not fresh
107,4,awesome test 
108,1,Full tasty paw vaji...
109,5,Good taste Good service Thanks for accepting free soup 
110,4,Not yummy Not test full<br/>
111,1,machaow soup didn't send
112,4,nice
113,1,exilent 
