Restaurant_Name,Order_Date,Item_Name,Order_Value_INR
Biryani Central,2026-07-15,Pad Thai,921.15
Dim Sum Delight,2026-06-21,Chocolate Cake,1166.21
Pasta Express,2026-07-22,Margherita Pizza,574.81
Pizza Paradise,2026-08-25,Pad Thai,876.03
Taco Fiesta,2026-07-11,Mutton Kebab,773.47
Noodle Corner,2026-08-20,Mutton Kebab,962.34
Sweet Cravings,2026-07-24,Mutton Kebab,555.41
Midnight Munchies,2026-08-27,Chocolate Cake,374.45
The Kebab Shop,2026-08-26,Tacos,1050.78
Dim Sum Delight,2026-09-15,Mutton Kebab,1165.58
Steak Out,2026-07-23,Mutton Kebab,785.76
Healthy Greens,2026-07-09,Caesar Salad,1076.76
Burger Hub,2026-08-17,Mutton Kebab,686.14
Dim Sum Delight,2026-06-20,Mutton Kebab,367.78
Noodle Corner,2026-08-26,Chocolate Cake,697.4
Curry House,2026-09-08,Pad Thai,779.9
Sushi Rollers,2026-08-04,Cheeseburger,998.7
Curry House,2026-09-15,Tacos,1131.98
Pasta Express,2026-08-26,Chocolate Cake,1083.86
Noodle Corner,2026-07-17,Paneer Butter Masala,275.74
Taco Fiesta,2026-09-06,Pad Thai,1062.7
Curry House,2026-09-10,California Roll,951.97
Spice Village,2026-07-16,Cheeseburger,498.9
Sushi Rollers,2026-08-04,Chicken Biryani,407.91
Pizza Paradise,2026-07-03,Chocolate Cake,280.36
The Kebab Shop,2026-09-01,Caesar Salad,1141.24
Midnight Munchies,2026-07-07,Mutton Kebab,482.09
Pizza Paradise,2026-08-14,Margherita Pizza,501.49
Bake & Cake,2026-08-19,Tacos,1044.92
Vegan Bites,2026-06-25,Mutton Kebab,268.05
Sushi Rollers,2026-07-24,Mutton Kebab,372.83
Noodle Corner,2026-07-17,Chicken Biryani,304.97
Bake & Cake,2026-08-07,Pad Thai,193.23
Breakfast Club,2026-06-27,Cheeseburger,458.61
Burger Hub,2026-08-09,California Roll,527.14
Breakfast Club,2026-07-24,Margherita Pizza,587.33
Sushi Rollers,2026-08-10,Tacos,705.59
Healthy Greens,2026-07-28,Paneer Butter Masala,495.27
Pasta Express,2026-08-09,Margherita Pizza,865.8
Sweet Cravings,2026-07-15,Chicken Biryani,392.75
Sushi Rollers,2026-09-17,Margherita Pizza,230.08
Curry House,2026-08-20,Chocolate Cake,181.66
Curry House,2026-06-20,Pad Thai,811.52
Noodle Corner,2026-08-10,Paneer Butter Masala,452.45
Biryani Central,2026-06-25,Tacos,943.08
The Kebab Shop,2026-08-29,Mutton Kebab,641.02
Dim Sum Delight,2026-06-20,Mutton Kebab,367.78
Dim Sum Delight,2026-09-18,Chicken Biryani,1059.17
